Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
10/31/2012,"Two motorists were killed when a westbound Eight Mile Road vehicle, east of Napier Road at the sports Park Driveway crossed the centerline and hit an eastbound vehicle head-on. Drivers of both vehicles died.",,8 Mile Rd,Napier Rd,,,,1,2,,,,,,,,,,,,,,,,0,0,
11/3/2012,A westbound Long Lake Road motorist turning left into Saddle Brook Court failed to yield to an eastbound motorist and their vehicle was struck on the passenger side. A passenger in the westbound vehicle was killed.,,Long Lake Rd,Saddle Brook Ct,,,,1,1,,,,,,,,,,,,,,,,0,0,
11/4/2012,"A motorist was killed when travelling on westbound Pontiac Trail, west of Grace Rae Court, crossed the centerline and ran off the road hit two utility poles, a sign post and two trees before coming to a stop. Alcohol and excessive speed is believed to be a factor in the crash.",,Pontiac Trail,Grace Rae Ct,,,,1,1,,,,,,,1,,,,1,,,,,0,0,
11/17/2012,"Two vehicle collision on Milford Road, just north of Forest Ridge Drive/Heritage Drive resulted in one fatality and an A-injury. Dense fog in the area and alcohol may have been factors in the crash.",,Milford Rd,Forest Ridge Dr,,,,1,1,,,,,,,,,,,1,,,,,0,0,
12/24/2012,A motorist travelling north on Coats Road was killed when she lost control south of Oakwood Road and ran off the road and hit a tree. Alcohol appears to be a factor in the crash.,,Coats Rd,Oakwood Rd,,,,1,1,,,,,,1,,,,,1,,,,,0,0,
12/31/2012,A motorist travelling westbound on Grange Hall Road west of Judy Ann Road was killed when he sideswiped another vehicle and ran of the road into several trees. Alcohol and excessive speed may have been factors in the crash.,,Grange Hall Rd,Judy Ann Rd,,,,1,1,,,,,,,1,,,,1,,,,,0,0,
1/21/2013,A motorist travelling northbound on Opdyke Road at M-59 crossed the centerline and hit a southbound vehicle head-on. The motorist in the southbound vehicle was killed. Alcohol is believed to have been a factor in the crash.,,Opdyke Road,M-59,,,,1,1,,,,,,,,,,,1,,,,,0,0,
3/1/2013,"A motorist travelling northbound on Adams Road, north of Butler Road crossed the centerline and sideswiped a southbound vehicle, then hit a second southbound vehicle head-on. The driver that crossed the centerline was killed in the crash. A pre-existing medical condition may have been a factor in the crash.",,Adams Rd,Butler Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
3/21/2013,A motorist travelling southeasterly on Andersonville Road was killed when they lost control on the snow covered road coming out of the curve approximately a half-mile northeasterly of Northwest Court. Their vehicle sideswiped a northwesterly travelling vehicle and then was hit by another northwesterly travelling vehicle after they slide sideways in front of it.,,Andersonville Rd,Northwest Ct,,,,1,1,,,,,,,,,,,,,,1,,0,0,
7/6/2013,Motorcyclist on Milford Road was killed when they collided with a van near Munger Road.,,Milford Rd,Munger Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
7/7/2013,"A motorist was killed when they ran off the road at a high rate of speed on westbound Holcomb Road, east of Brook Lane, and hit a tree.",,Holcomb Rd,,,,,1,1,,,,,,1,1,,,,,,,,,0,0,
7/21/2013,"A motorcyclist travelling at a high rate of speed eastbound on Clarkston Road at Lakeview Drive lost control, crossed the centerline, and hit the side of a westbound vehicle. The motorcyclist died from their injuries.",,Clarkston Rd,Lakeview Dr,,,,1,1,,,,,,,1,,,,,,,,,0,1,
8/10/2013,A motorist travelling southbound on Lahser Road ran a red light at Eleven Mile Road and hit a westbound vehicle. A passenger in the westbound vehicle was killed.,,Lahser,11 Mile Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
8/24/2013,A motorcyclist travelling eastbound on Elizabeth Lake Road was killed when a westbound motorist turned left onto Exmoor Road in front of the motorcycle.,,Elizabeth Lake Rd,Exmoor Rd,,,,1,1,,,,,,,,,,,,,,,,0,1,
9/20/2013,"A motorist travelling northbound on Hall Road turning left onto Andersonville Road was killed when his vehicle slid sideways, hit a guardrail, went airborne over the guardrail and was ejected. The driver was not wearing a seatbelt.",,Hall Rd,Andersonville Rd,,,,1,1,,,,,,1,,,,,,,,,,0,0,
9/20/2013,"A motorist travelling eastbound on Andersonville Road, 200 feet east of White Lake Road crossed the centerline and hit a westbound vehicle head-on. The motorist that crossed the centerline was killed.",,Andersonville Rd,White Lake Rd,,,,1,1,,,,,,,,,,,,,,,,0,0,
10/31/2013,"A motorist travelling southbound on Sashabaw Road, 50 feet north of Island Park Drive slide sideways across the centerline and was hit by northbound vehicle on the passenger side. A passenger in the vehicle that crossed the centerline died 8 days later from injuries sustained in the crash.",,Sashabaw Rd,Island Park Dr,,,,1,1,,,,,,,,,,,,,,,,0,0,
